label,B11_1,B12,B1_1,B2_1,B3_1,B4_1,B5_1,B6_1,B7_1,B8A,B8_1,B9_1,elevation
4,0.354,0.3439,0.1158,0.1314,0.1698,0.2082,0.2202,0.2211,0.2315,0.2293,0.2263,0.2522,1744
5,0.36465,0.37635,0.1177,0.14255,0.18675,0.2288,0.24305,0.24645,0.25355,0.2572,0.25515,0.2628,2032
2,0.1641,0.157,0.06745,0.0805,0.10005,0.12425,0.1363,0.13735,0.1413,0.14295,0.137,0.1389,1789
5,0.35905,0.3527,0.1222,0.14915,0.20125,0.24685,0.25915,0.26935,0.2752,0.28865,0.2909,0.2944,2080
5,0.3934,0.38705,0.12175,0.14835,0.2019,0.25725,0.2764,0.2835,0.2932,0.30135,0.29345,0.3044,2021
9,0.3251,0.3072,0.0881,0.11065,0.15345,0.2041,0.2242,0.22705,0.2344,0.23345,0.22695,0.22975,1842
10,0.2803,0.28425,0.08555,0.1079,0.1409,0.17935,0.18575,0.19065,0.19485,0.19805,0.19835,0.19355,1910
10,0.27655,0.2884,0.0983,0.11215,0.14565,0.1716,0.18275,0.1869,0.19345,0.1957,0.18915,0.20015,1940
10,0.31975,0.3238,0.10405,0.12205,0.1571,0.1974,0.2101,0.2179,0.2291,0.23445,0.22875,0.24375,1949
2,0.2107,0.2055,0.0669,0.0912,0.115,0.1401,0.1524,0.1537,0.1604,0.1635,0.1614,0.1535,1961 
10,0.32325,0.33355,0.09235,0.1255,0.16605,0.2054,0.2229,0.22685,0.23235,0.23165,0.2297,0.21165,1887
10,0.3093,0.31805,0.0949,0.1181,0.1614,0.2096,0.22345,0.2264,0.2314,0.23175,0.23355,0.22625,1897
2,0.18795,0.19255,0.0728,0.07945,0.1006,0.1219,0.13345,0.13455,0.13935,0.14055,0.13625,0.1429,1827
2,0.1556,0.1531,0.0615,0.07125,0.0887,0.10065,0.10805,0.11035,0.11495,0.1176,0.11295,0.1275,1922
7,0.2039,0.1975,0.0876,0.1108,0.1378,0.1628,0.1693,0.172,0.1744,0.1742,0.1748,0.1565,1740
9,0.30975,0.29705,0.09765,0.11215,0.1552,0.20545,0.2253,0.22825,0.236,0.23345,0.2304,0.2447,1849
2,0.176,0.16705,0.0676375,0.06675,0.0866,0.105833333,0.1135,0.11515,0.120716667,0.123766667,0.117855556,0.133733333,1727
3,0.3791,0.367,0.097,0.1347,0.1868,0.2658,0.2903,0.294,0.3012,0.3061,0.303,0.2836,1820
7,0.1498,0.1428,0.0789,0.0986,0.1166,0.1328,0.137,0.1369,0.1344,0.1351,0.1371,0.1275,1675
10,0.3028,0.3241,0.1059,0.1218,0.1588,0.1891,0.2116,0.2132,0.2151,0.2155,0.2044,0.2283,1966
10,0.2824,0.2894,0.0923,0.1032,0.13605,0.1636,0.1804,0.18955,0.19635,0.1991,0.19135,0.2173,2160
2,0.20475,0.20605,0.067,0.09505,0.11765,0.1411,0.1486,0.1507,0.1547,0.15905,0.1592,0.1333,1813
2,0.1874,0.1734,0.0719,0.0806,0.1004,0.1222,0.1332,0.1372,0.1432,0.1507,0.1437,0.1524,1797
2,0.1687,0.1611,0.0667,0.0862,0.104,0.1256,0.1333,0.1351,0.1411,0.1445,0.1471,0.1433,1782
2,0.17025,0.16645,0.0847,0.0885,0.107,0.12675,0.13525,0.1398,0.14435,0.14985,0.1475,0.1772,1845
2,0.1761,0.1669,0.0725,0.0736,0.0917,0.1127,0.1213,0.1257,0.1322,0.1386,0.1331,0.14735,1859
7,0.16885,0.15385,0.0843,0.0909,0.1084,0.12615,0.1329,0.132,0.13595,0.13585,0.13505,0.13965,1666
10,0.2937,0.3103,0.1036,0.1193,0.1566,0.1919,0.2058,0.206,0.2098,0.2134,0.2064,0.2233,1926
1,0.2759,0.3012,0.1099,0.1332,0.1582,0.1715,0.1824,0.1786,0.1857,0.1836,0.1822,0.2009,1666
2,0.2174,0.21035,0.0744,0.08365,0.112,0.13805,0.14765,0.153,0.15755,0.16395,0.16065,0.1649,1846
7,0.2115,0.2009,0.09525,0.11825,0.14415,0.1643,0.17275,0.1713,0.17455,0.1749,0.17795,0.16635,1681
7,0.146,0.136,0.0833,0.0875,0.1038,0.1198,0.1259,0.1232,0.128,0.1259,0.1258,0.1406,1585
10,0.3191,0.3242,0.09805,0.1305,0.1718,0.20445,0.222,0.22405,0.23145,0.232,0.22815,0.1989,1937
10,0.3214,0.32415,0.10355,0.1278,0.1719,0.2118,0.2282,0.22745,0.2356,0.23615,0.2308,0.2424,2089
1,0.2597,0.2771,0.0915,0.1074,0.1323,0.144,0.1549,0.1504,0.1552,0.1566,0.1518,0.1555,1705
2,0.19015,0.1798,0.07735,0.09395,0.11725,0.14165,0.15325,0.1539,0.1602,0.16035,0.15935,0.14685,1770
2,0.1982,0.1904,0.0808,0.0906,0.1144,0.1429,0.15385,0.15795,0.16385,0.16985,0.16515,0.16765,1778
5,0.3597,0.3563,0.114,0.1484,0.19905,0.24675,0.26095,0.2742,0.28405,0.2887,0.2859,0.28255,2223
5,0.3802,0.3779,0.1218,0.15755,0.2101,0.2603,0.2739,0.2778,0.2922,0.29545,0.29465,0.29115,2226
5,0.34255,0.3389,0.1251,0.14085,0.1852,0.22535,0.24155,0.25035,0.26235,0.26895,0.26275,0.2779,2088
6,0.2685,0.2824,0.1076,0.1128,0.1453,0.1738,0.1859,0.1849,0.1909,0.1902,0.1837,0.2088,1494
6,0.2324,0.2323,0.0884,0.1071,0.1377,0.1582,0.1704,0.1685,0.1746,0.1751,0.1739,0.1575,1609
10,0.32685,0.3382,0.10185,0.12445,0.1645,0.20195,0.2148,0.21685,0.2258,0.2247,0.2193,0.22435,2096
2,0.1703,0.162716667,0.0599875,0.0698,0.087516667,0.10878,0.1176,0.119655556,0.124475,0.1321,0.129566667,0.125953333,1707
2,0.19555,0.19535,0.07485,0.08535,0.10655,0.12735,0.1375,0.13835,0.1452,0.14965,0.1429,0.14855,1866
2,0.2077,0.1991,0.0732,0.0961,0.1226,0.1483,0.162,0.1629,0.1689,0.1718,0.1672,0.146,1942
3,0.3548,0.34565,0.09615,0.1166,0.1668,0.2432,0.2614,0.27075,0.2762,0.2775,0.27395,0.27435,1683
7,0.1921,0.1835,0.0787,0.1082,0.1323,0.1505,0.1596,0.157,0.1603,0.1589,0.1593,0.1393,1538
10,0.307,0.3095,0.1124,0.115,0.1535,0.1907,0.2062,0.207,0.2145,0.217,0.2098,0.2408,1889
10,0.3069,0.3017,0.1018,0.1193,0.15955,0.19735,0.2131,0.2177,0.22365,0.22895,0.21635,0.22575,2166
10,0.3029,0.3112,0.1001,0.111,0.1464,0.1922,0.2056,0.2058,0.2146,0.2198,0.2173,0.2245,1902
10,0.2972,0.2997,0.0924,0.1078,0.1467,0.1944,0.2121,0.2117,0.2173,0.2164,0.211,0.2111,1966
2,0.167,0.1625,0.0803,0.0755,0.0932,0.113,0.1297,0.1295,0.1373,0.1401,0.1256,0.1505,1792
2,0.1456,0.1441,0.07045,0.0685,0.08515,0.1021,0.1117,0.11225,0.11785,0.11835,0.11225,0.13275,1797
2,0.17745,0.177228571,0.0697,0.077425,0.097975,0.11866,0.1198,0.11946,0.122533333,0.1275,0.13016,0.1305,1718
2,0.1955,0.1902,0.0709,0.08825,0.10975,0.13205,0.1378,0.14085,0.1462,0.1516,0.14675,0.14015,1918
5,0.35475,0.34565,0.1218,0.14355,0.1926,0.2368,0.25475,0.2594,0.271,0.2769,0.26955,0.28395,2079
2,0.19715,0.19205,0.07355,0.08365,0.105,0.13215,0.1399,0.1439,0.14925,0.15525,0.15235,0.16655,1863
7,0.15395,0.14455,0.07305,0.0945,0.1139,0.1294,0.1341,0.1326,0.1368,0.1351,0.13465,0.12305,1652
8,0.4197,0.41005,0.1216,0.15435,0.21395,0.2694,0.28815,0.2921,0.30335,0.306,0.30135,0.2996,2099
10,0.2799,0.2999,0.0916,0.1126,0.14445,0.1713,0.1846,0.1875,0.1974,0.20055,0.1927,0.19945,2141
2,0.1794,0.185,0.0628,0.0793,0.0986,0.1202,0.124,0.1261,0.1305,0.1352,0.1364,0.1369,1832
5,0.35285,0.36075,0.1198,0.1423,0.1864,0.226,0.2517,0.2533,0.26125,0.26695,0.25005,0.2747,2093
